Molecule,Canonical SMILES,Formula,MW,#Heavy atoms,#Aromatic heavy atoms,Fraction Csp3,#Rotatable bonds,#H-bond acceptors,#H-bond donors,MR,TPSA,iLOGP,XLOGP3,WLOGP,MLOGP,Silicos-IT Log P,Consensus Log P,ESOL Log S,ESOL Solubility (mg/ml),ESOL Solubility (mol/l),ESOL Class,Ali Log S,Ali Solubility (mg/ml),Ali Solubility (mol/l),Ali Class,Silicos-IT LogSw,Silicos-IT Solubility (mg/ml),Silicos-IT Solubility (mol/l),Silicos-IT class,GI absorption,BBB permeant,Pgp substrate,CYP1A2 inhibitor,CYP2C19 inhibitor,CYP2C9 inhibitor,CYP2D6 inhibitor,CYP3A4 inhibitor,log Kp (cm/s),Lipinski #violations,Ghose #violations,Veber #violations,Egan #violations,Muegge #violations,Bioavailability Score,PAINS #alerts,Brenk #alerts,Leadlikeness #violations,Synthetic Accessibility
Molecule 13,O=C(NS(=O)(=O)c1ccc(cc1)C)NN1CCCCCC1,C14H21N3O3S,311.4,21,6,0.5,5,4,2,84.23,86.89,2.88,2.69,2.47,1.76,0.37,2.04,-3.35,1.40E-01,4.50E-04,Soluble,-4.17,2.12E-02,6.80E-05,Moderately soluble,-3.75,5.55E-02,1.78E-04,Soluble,High,No,No,No,Yes,Yes,No,No,-6.29,0,0,0,0,0,0.55,0,0,0,2.76
Molecule 14,ONC(=O)/C=C/c1ccc(cc1)CNCCc1c(C)[nH]c2c1cccc2,C21H23N3O2,349.43,26,15,0.19,8,3,4,103.76,77.15,2.38,2.99,3.07,2.31,4.14,2.98,-3.79,5.68E-02,1.63E-04,Soluble,-4.27,1.86E-02,5.32E-05,Moderately soluble,-6.93,4.11E-05,1.17E-07,Poorly soluble,High,Yes,Yes,Yes,No,No,Yes,No,-6.31,0,0,0,0,0,0.55,1,3,1,2.88
Molecule 15,Cc1ccc(cc1)S(=O)(=O)O.C=CC(=O)N1C[C@@H](CC[C@@H]1C)Nc1ncnc2c1cc[nH]2,C22H27N5O4S,457.55,32,15,0.32,5,6,3,127.34,136.66,3.44,3.09,3.69,2.04,1.59,2.77,-4.64,1.05E-02,2.29E-05,Moderately soluble,-5.63,1.08E-03,2.36E-06,Moderately soluble,-3.63,1.07E-01,2.34E-04,Soluble,Low,No,No,No,No,Yes,No,No,-6.9,0,0,0,1,0,0.56,0,2,1,3.94
Molecule 16,O=C1CC[C@H](N1)C(=O)N[C@H](C(=O)N1CCC[C@H]1C(=O)N)Cc1nc[nH]c1,C16H22N6O4,362.38,26,5,0.56,8,5,4,96.85,150.28,0.29,-2.28,-2.57,-1.99,-0.31,-1.37,-0.26,1.97E+02,5.44E-01,Very soluble,-0.34,1.65E+02,4.56E-01,Very soluble,-2.21,2.21E+00,6.11E-03,Soluble,Low,No,No,No,No,No,No,No,-10.13,0,1,1,1,2,0.55,0,0,2,3.76
Molecule 17,CCCCCCCC(=O)N[C@@H]([C@@H](c1ccc2c(c1)OCCO2)O)CN1CCCC1,C23H36N2O4,404.54,29,6,0.7,12,5,2,118.44,71.03,4.2,3.69,2.73,1.86,4.4,3.38,-4.03,3.74E-02,9.25E-05,Moderately soluble,-4.87,5.43E-03,1.34E-05,Moderately soluble,-5.54,1.18E-03,2.91E-06,Moderately soluble,High,Yes,No,No,No,No,Yes,No,-6.15,0,0,1,0,0,0.55,0,0,3,4.24
Molecule 18,COc1cc2ncnc(c2cc1NC(=O)/C=C/CN1CCCCC1)Nc1ccc(c(c1)Cl)F.O,C24H27ClFN5O3,487.95,34,16,0.29,8,7,3,135.77,88.61,4.37,3.96,4.94,2.43,4.39,4.02,-5.18,3.22E-03,6.60E-06,Moderately soluble,-5.52,1.47E-03,3.01E-06,Moderately soluble,-7.99,4.95E-06,1.01E-08,Poorly soluble,High,No,Yes,No,Yes,Yes,Yes,Yes,-6.46,0,2,0,0,0,0.55,0,1,3,3.53
Molecule 19,CNS(=O)(=O)CCc1ccc2c(c1)c(c[nH]2)C1CCN(CC1)C,C17H25N3O2S,335.46,23,9,0.53,5,4,2,98.34,73.58,2.05,1.99,2.77,1.21,2.4,2.08,-3.13,2.47E-01,7.36E-04,Soluble,-3.16,2.31E-01,6.90E-04,Soluble,-5.31,1.65E-03,4.92E-06,Moderately soluble,High,Yes,Yes,No,No,No,Yes,No,-6.93,0,0,0,0,0,0.55,0,0,0,2.76
Molecule 20,CNS(=O)(=O)CCc1ccc2c(c1)c(c[nH]2)C1CCN(CC1)C.Cl,C17H26ClN3O2S,371.93,24,9,0.53,5,4,2,105.31,73.58,0,2.79,3.57,1.45,2.4,2.04,-3.85,5.24E-02,1.41E-04,Soluble,-3.99,3.79E-02,1.02E-04,Soluble,-5.31,1.83E-03,4.92E-06,Moderately soluble,High,Yes,Yes,Yes,No,No,Yes,Yes,-6.59,0,0,0,0,0,0.55,0,0,1,2.84
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
