molecule_chembl_id,canonical_smiles,pchembl_value,bioactivity_class
CHEMBL125901,O=C(O)[C@H]1[C@H](Cn2nnc3ccccc3c2=O)CC[C@@H]1Sc1ccc(-c2ccncc2)cc1,6.47,1
CHEMBL279785,CNC(=O)[C@@H](NC(=O)[C@H](CC(C)C)[C@H](O)C(=O)NO)C(C)(C)C,8.8,1
CHEMBL126712,CC1(C)NC(=O)N(C[C@@H]2CC[C@H](Sc3ccc(-c4ccc(Cl)cc4)cc3)[C@H]2C(=O)O)C1=O,8.48,1
CHEMBL340345,O=C(O)[C@H]1[C@H](CN2NNc3[nH]cnc3C2=O)CC[C@@H]1Sc1ccc(-c2ccc(Cl)cc2)cc1,6.19,1
CHEMBL514138,COc1ccc(S(=O)(=O)N(Cc2cccnc2)[C@@H](C(=O)NO)C(C)C)cc1.Cl,8.0,1
CHEMBL340771,N#Cc1ccc(-c2ccc(S[C@H]3CC[C@@H](Cn4nnc5ccccc5c4=O)[C@@H]3C(=O)O)cc2)cc1,7.62,1
CHEMBL296911,COc1ccc(S(=O)(=O)N(CC(C)C)[C@@H](CCSCc2ccccc2)C(=O)NO)cc1,8.6,1
CHEMBL115653,CN1C(=O)N(C[C@H](C(=O)NO)[C@@H](CC2CCCC2)C(=O)N2CCCCC2)C(=O)C1(C)C,7.24,1
CHEMBL47728,CSCC[C@@H](C(=O)NO)N(CC(C)C)S(=O)(=O)c1ccc(-c2ccccc2)cc1,9.7,1
CHEMBL75094,CC1(C)SCCN(S(=O)(=O)c2ccc(Oc3ccncc3)cc2)[C@H]1C(=O)NO,9.7,1
CHEMBL126461,O=C(NO)C(CCn1nnc2ccccc2c1=O)CSc1ccc(-c2ccc(Cl)cc2)cc1,9.3,1
CHEMBL127168,N#Cc1ccc(-c2ccc(S[C@H]3CC[C@@H](Cn4c(=O)nc5ccccn5c4=O)[C@@H]3C(=O)O)cc2)cc1,7.51,1
CHEMBL45357,CC[C@@H](C(=O)NO)N(CC(C)C)S(=O)(=O)c1ccc(OC)cc1,8.15,1
CHEMBL310649,COc1ccc(S(=O)(=O)N2CCCN(C(=O)N[C@@H](C)c3ccccc3)CC2C(=O)NO)cc1,8.04,1
CHEMBL311509,COc1ccc(S(=O)(=O)N(Cc2ccccc2)c2c(OC)cccc2C(=O)NO)cc1,7.64,1
CHEMBL311368,COc1ccc(S(=O)(=O)N(Cc2ccccc2)c2c(C(=O)NO)cccc2[N+](=O)[O-])cc1,7.89,1
CHEMBL539787,COc1ccc(S(=O)(=O)N2CCCNCC2C(=O)NO)cc1.Cl,7.22,1
CHEMBL327621,COc1ccc(S(=O)(=O)N2CCCN(C(=O)c3ccccc3)CC2C(=O)NO)cc1,8.7,1
CHEMBL76606,COc1ccc(S(=O)(=O)N(Cc2ccccc2)c2c(C)cccc2C(=O)NO)cc1,7.64,1
CHEMBL514138,COc1ccc(S(=O)(=O)N(Cc2cccnc2)[C@@H](C(=O)NO)C(C)C)cc1.Cl,8.05,1
CHEMBL308084,COc1ccc(S(=O)(=O)N(Cc2ccccc2)c2c(C(=O)NO)cccc2C(F)(F)F)cc1,7.57,1
CHEMBL307182,COc1ccc(S(=O)(=O)N(Cc2ccccc2)c2c(Cl)cccc2C(=O)NO)cc1,7.51,1
CHEMBL311768,COc1ccc(S(=O)(=O)N(Cc2ccccc2)c2cc(C)ccc2C(=O)NO)cc1,6.46,1
CHEMBL77237,COc1ccc(S(=O)(=O)N(Cc2ccccc2)c2cccc(C)c2C(=O)NO)cc1,6.36,1
CHEMBL538028,COc1ccc(S(=O)(=O)N2CCCN(C(=O)CN)CC2C(=O)NO)cc1.Cl,6.8,1
CHEMBL70176,COc1ccc(S(=O)(=O)N(Cc2cccnc2)c2c(C)cccc2C(=O)NO)cc1,8.3,1
CHEMBL88559,COc1ccc(S(=O)(=O)N2CCCN(C(=O)CNC(=O)OC(C)(C)C)CC2C(=O)NO)cc1,7.64,1
CHEMBL328255,COc1ccc(S(=O)(=O)N2CCCN(C(=O)C(C)(C)C)CC2C(=O)NO)cc1,8.32,1
CHEMBL419868,COc1ccc(S(=O)(=O)N2CCCN(Cc3ccccc3)CC2C(=O)NO)cc1,7.51,1
CHEMBL313168,COc1ccc(S(=O)(=O)N2CCCN(C(=O)Nc3ccccc3)CC2C(=O)NO)cc1,7.75,1
CHEMBL514138,COc1ccc(S(=O)(=O)N(Cc2cccnc2)[C@@H](C(=O)NO)C(C)C)cc1.Cl,8.06,1
CHEMBL310655,COc1ccc(S(=O)(=O)N2CCCN(C(=O)OC(C)(C)C)CC2C(=O)NO)cc1,8.04,1
CHEMBL308305,COc1ccc(S(=O)(=O)N(Cc2ccccc2)c2ccccc2C(=O)NO)cc1,6.19,1
CHEMBL80894,COc1ccc(S(=O)(=O)N(Cc2ccccc2)c2c(C(=O)NO)cccc2N(C)C)cc1,7.19,1
CHEMBL90978,O=C(NO)C1CN(C(=O)c2ccccc2)CCCN1S(=O)(=O)c1ccc(Oc2ccccc2)cc1,8.92,1
CHEMBL80322,COc1ccc(S(=O)(=O)N(Cc2ccccc2)c2ccc(C)cc2C(=O)NO)cc1,6.45,1
