canonical_smiles,molecule_chembl_id,pchembl_value,bioactivity_class
CC(C)C[C@H](N[C@H](CCN1C(=O)c2cc3ccccc3cc2C1=O)C(=O)O)C(=O)N1CCN(C)CC1,CHEMBL345640,7.16,1.0
CC(C)C[C@H](N[C@H](CCN1C(=O)c2cc3ccccc3cc2C1=O)C(=O)O)C(=O)N1CCc2ccccc2C1,CHEMBL347249,7.06,1.0
CC(C)C[C@H](N[C@H](CCN1C(=O)c2cc3ccccc3cc2C1=O)C(=O)O)C(=O)NC(C)c1ccccc1,CHEMBL345244,7.92,1.0
CC(C)C[C@H](N[C@H](CCN1C(=O)c2cc3ccccc3cc2C1=O)C(=O)O)C(=O)NC1CCCc2ccccc21,CHEMBL159159,7.12,1.0
CC(C)C[C@H](N[C@H](CCN1C(=O)c2cc3ccccc3cc2C1=O)C(=O)O)C(=O)NCCc1ccccc1,CHEMBL159033,7.46,1.0
CC(C)C[C@H](N[C@H](CCN1C(=O)c2cc3ccccc3cc2C1=O)C(=O)O)C(=O)NCc1ccc(C(=O)O)cc1,CHEMBL161224,7.13,1.0
CC(C)C[C@H](N[C@H](CCN1C(=O)c2cc3ccccc3cc2C1=O)C(=O)O)C(=O)NCc1ccc(S(N)(=O)=O)cc1,CHEMBL350789,8.17,1.0
CC(C)C[C@H](N[C@H](CCN1C(=O)c2cc3ccccc3cc2C1=O)C(=O)O)C(=O)NCc1cccc(F)c1,CHEMBL348826,7.82,1.0
CC(C)C[C@H](N[C@H](CCN1C(=O)c2cc3ccccc3cc2C1=O)C(=O)O)C(=O)NCc1ccccc1,CHEMBL433902,7.5,1.0
CC(C)C[C@H](N[C@H](CCN1C(=O)c2cc3ccccc3cc2C1=O)C(=O)O)C(=O)NCc1cccnc1,CHEMBL161562,7.44,1.0
CC(C)C[C@H](N[C@H](CCN1C(=O)c2cc3ccccc3cc2C1=O)C(=O)O)C(=O)NCc1nnn(C)n1,CHEMBL349800,7.52,1.0
CC(C)C[C@H](N[C@H](CCN1C(=O)c2cc3ccccc3cc2C1=O)C(=O)O)C(=O)Nc1ccccc1,CHEMBL348755,7.0,1.0
CC(C)N(C)[C@@H](CN(c1ccc(Oc2ccc(C(F)(F)F)cc2)cc1)S(C)(=O)=O)C(=O)NO,CHEMBL252426,8.06,1.0
CC(C)N(C)c1ccc(-c2cn(-c3ccc(S(=O)(=O)C4(C(=O)NO)CCNCC4)cc3)nn2)cc1,CHEMBL3359658,6.46,1.0
CC(C)N(CCNC(=O)OCc1ccccc1)[C@@H](CN(c1ccc(Oc2ccc(C(F)(F)F)cc2)cc1)S(C)(=O)=O)C(=O)NO,CHEMBL252823,7.54,1.0
CC(C)N(Cc1ccccc1)[C@@H](CN(c1ccc(Oc2ccc(C(F)(F)F)cc2)cc1)S(C)(=O)=O)C(=O)NO,CHEMBL400445,7.17,1.0
CC(C)N(c1cccn(O)c1=O)S(=O)(=O)c1ccc(Oc2ccccc2)cc1,CHEMBL255996,7.24,1.0
CC(C)N1CCC(C(=O)NO)(S(=O)(=O)c2ccc(Oc3ccc(C(F)(F)F)cc3)cc2)CC1,CHEMBL1801426,8.72,1.0
CC(C)N1CCN(C2(c3ccc(Oc4ccc(Br)cc4)cc3)C(=O)NC(=O)NC2=O)CC1,CHEMBL370685,9.0,1.0
CC(C)NC(=O)CC[C@H](NS(=O)(=O)c1ccc(-c2ccccc2)cc1)C(=O)O,CHEMBL3827781,5.13,0.0
CC(C)NC(=O)CC[C@H](NS(=O)(=O)c1ccc([N+](=O)[O-])cc1)C(=O)O,CHEMBL4170455,5.22,0.0
CC(C)NC(=O)P(=O)(O)O,CHEMBL97034,5.7,1.0
CC(C)N[C@@H](CN(c1ccc(Oc2ccc(C(F)(F)F)cc2)cc1)S(C)(=O)=O)C(=O)NO,CHEMBL252827,8.62,1.0
CC(C)OC(=O)c1cccc(=O)[nH]1,CHEMBL445939,4.17,0.0
CC(C)ON(C(C(=O)NO)C(C)C)S(=O)(=O)c1ccc(-c2ccccc2)cc1,CHEMBL179616,7.71,1.0
CC(C)ON(CC(=O)NO)S(=O)(=O)c1ccc(-c2ccc(F)cc2)s1,CHEMBL563026,5.5,1.0
CC(C)ON(CC(=O)NO)S(=O)(=O)c1ccc(-c2ccc(OCc3ccc(Cl)cc3)cc2)cc1,CHEMBL550350,5.96,1.0
CC(C)ON(CC(=O)NO)S(=O)(=O)c1ccc(-c2ccccc2)cc1,CHEMBL181244,6.7,1.0
CC(C)ON(CC(=O)NO)S(=O)(=O)c1ccc(/C=C/c2ccc(-c3ccccc3)cc2)cc1,CHEMBL563679,5.64,1.0
CC(C)ON(CC(=O)NO)S(=O)(=O)c1ccc(Br)s1,CHEMBL3754100,5.21,0.0
CC(C)ON(CC(=O)NO)S(=O)(=O)c1ccc(Oc2ccccc2)cc1,CHEMBL561038,6.96,1.0
CC(C)ON([C@@H](C(=O)NO)C(C)C)S(=O)(=O)c1ccc(-c2ccc(OCc3ccc(Cl)cc3)cc2)cc1,CHEMBL550548,7.16,1.0
CC(C)ON([C@@H](C(=O)NO)C(C)C)S(=O)(=O)c1ccc(-c2ccccc2)cc1,CHEMBL179288,8.17,1.0
CC(C)ON([C@@H](C(=O)O)C(C)C)S(=O)(=O)c1ccc(-c2ccccc2)cc1,CHEMBL575881,4.62,0.0
CC(C)ON([C@@H](CCNC(=O)OCc1ccccc1)C(=O)NO)S(=O)(=O)c1ccc(-c2ccccc2)cc1,CHEMBL5177819,7.8,1.0
CC(C)ON([C@H](C(=O)NO)C(C)C)S(=O)(=O)c1ccc(-c2ccccc2)cc1,CHEMBL362678,7.89,1.0
CC(C)ON([C@H](CCN)C(=O)NO)S(=O)(=O)c1ccc(-c2ccccc2)cc1,CHEMBL369317,5.34,0.0
CC(C)ON([C@H](CCNC(=O)CCCNC(=O)c1cccc(C(=O)NCCCC(=O)NCC[C@H](C(=O)NO)N(OC(C)C)S(=O)(=O)c2ccc(-c3ccccc3)cc2)c1)C(=O)NO)S(=O)(=O)c1ccc(-c2ccccc2)cc1,CHEMBL262397,8.08,1.0
CC(C)ON([C@H](CCNC(=O)Cc1ccccc1)C(=O)NO)S(=O)(=O)c1ccc(-c2ccccc2)cc1,CHEMBL3617403,8.19,1.0
CC(C)ON([C@H](CCNC(=O)OCc1ccccc1)C(=O)NO)S(=O)(=O)c1ccc(-c2ccccc2)cc1,CHEMBL362651,7.8,1.0
CC(C)ON([C@H](CCNC(=O)c1cccc(C(=O)NCC[C@H](C(=O)NO)N(OC(C)C)S(=O)(=O)c2ccc(-c3ccccc3)cc2)c1)C(=O)NO)S(=O)(=O)c1ccc(-c2ccccc2)cc1,CHEMBL196647,6.01,1.0
CC(C)ON([C@H](CCNC(=O)c1ccccc1)C(=O)NO)S(=O)(=O)c1ccc(-c2ccccc2)cc1,CHEMBL3617400,8.05,1.0
CC(C)ON([C@H](CCNS(C)(=O)=O)C(=O)NO)S(=O)(=O)c1ccc(-c2ccccc2)cc1,CHEMBL3617401,8.07,1.0
CC(C)Oc1ccc(-c2ccc(S(=O)(=O)N[C@@H](C(C)C)P(=O)(O)O)cc2)cc1,CHEMBL227598,7.62,1.0
CC(C)Oc1ccc(C(=O)Nc2ccc(S(=O)(=O)N[C@H](Cc3c[nH]c4ccccc34)C(=O)O)cc2)cc1,CHEMBL2385444,7.01,1.0
CC(C)Oc1ccc(Oc2ccc(S(=O)(=O)C3(C(=O)NO)CCN(C4CC4)CC3)cc2)cc1,CHEMBL1801417,9.68,1.0
CC(C)[C@@H](NS(=O)(=O)c1ccc(-c2ccc(Br)cc2)cc1)C(=O)NO,CHEMBL433262,7.75,1.0
CC(C)[C@@H](NS(=O)(=O)c1ccc(-c2ccc(Br)cc2)cc1)C(=O)O,CHEMBL42420,5.82,1.0
CC(C)[C@@H](NS(=O)(=O)c1ccc(-c2ccc(C#N)cc2)cc1)C(=O)NO,CHEMBL43479,7.57,1.0
CC(C)[C@@H](NS(=O)(=O)c1ccc(-c2ccc(C#N)cc2)cc1)C(=O)O,CHEMBL42938,5.42,1.0
CC(C)[C@@H](NS(=O)(=O)c1ccc(-c2nc(-c3ccc(Cn4cc(CCCCCF)nn4)s3)no2)cc1)C(=O)O,CHEMBL5428131,6.0,1.0
CC(C)[C@@H](NS(=O)(=O)c1ccc(-c2nc(-c3ccc(Cn4cc(CCCF)nn4)s3)no2)cc1)C(=O)O,CHEMBL5429762,6.99,1.0
CC(C)[C@@H](NS(=O)(=O)c1ccc(-c2nnn(-c3ccccc3)n2)cc1)C(=O)O,CHEMBL288750,6.96,1.0
CC(C)[C@@H](NS(=O)(=O)c1ccc(C#Cc2ccc(Oc3ccccc3)cc2)s1)C(=O)O,CHEMBL291213,6.58,1.0
CC(C)[C@@H](NS(=O)(=O)c1ccc(NC(=O)c2ccc(O[11CH3])cc2)cc1)C(=O)O,CHEMBL2311189,6.7,1.0
CC(C)[C@@H](NS(=O)(=O)c1ccc(NC(=O)c2ccc([N+](=O)[O-])cc2)cc1)C(=O)O,CHEMBL160245,6.57,1.0
CC(C)[C@@H](NS(=O)(=O)c1ccc(NC(=O)c2ccccc2)cc1)C(=O)O,CHEMBL155959,5.68,1.0
CC(C)[C@@H](NS(=O)(=O)c1ccc(Oc2ccccc2)cc1)C(=O)NO,CHEMBL432882,9.27,1.0
CC(C)[C@@H](NS(=O)(=O)c1ccc(Oc2ccccc2)cc1)C(=O)O,CHEMBL158798,5.96,1.0
CC(C)[C@@H]1C(=O)N(O)C(=O)CN1S(=O)(=O)c1ccc(-c2ccccc2)cc1,CHEMBL1939845,6.18,1.0
CC(C)[C@@H]1C(=O)N(O)C(=O)CN1S(=O)(=O)c1ccc(Oc2ccccc2)cc1,CHEMBL1939846,7.52,1.0
CC(C)[C@H](C(=O)NO)N(CC#N)S(=O)(=O)c1ccc(OCCF)cc1,CHEMBL2425941,10.15,1.0
CC(C)[C@H](C(=O)NO)N(CC(=O)NCCc1ccc(S(N)(=O)=O)cc1)S(=O)(=O)c1ccc(Oc2ccccc2)cc1,CHEMBL471537,9.68,1.0
CC(C)[C@H](C(=O)NO)N(CC(=O)O)S(=O)(=O)c1ccc(-c2ccccc2)cc1,CHEMBL456774,7.56,1.0
CC(C)[C@H](C(=O)NO)N(CC(=O)O)S(=O)(=O)c1ccc(Oc2ccccc2)cc1,CHEMBL515980,9.11,1.0
CC(C)[C@H](C(=O)NO)N(CCN=[N+]=[N-])S(=O)(=O)c1ccc(OCCF)cc1,CHEMBL2425935,8.4,1.0
CC(C)[C@H](C(=O)NO)N(CCNC(=O)c1cccc(C(=O)NCCN([C@@H](C(=O)N(C)C)C(C)C)S(=O)(=O)c2ccc(-c3ccccc3)cc2)c1)S(=O)(=O)c1ccc(-c2ccccc2)cc1,CHEMBL3944931,7.39,1.0
CC(C)[C@H](C(=O)NO)N(CCNC(=O)c1cccc(C(=O)NCCN([C@@H](C(=O)NO)C(C)C)S(=O)(=O)c2ccc(-c3ccccc3)cc2)c1)S(=O)(=O)c1ccc(-c2ccccc2)cc1,CHEMBL3891386,8.26,1.0
CC(C)[C@H](C(=O)NO)N(CCNC(=O)c1ccccc1)S(=O)(=O)c1ccc(-c2ccccc2)cc1,CHEMBL3900422,8.6,1.0
CC(C)[C@H](C(=O)NO)N(CCn1cc(CCCCOc2cccnc2F)nn1)S(=O)(=O)c1ccc(OCCF)cc1,CHEMBL2425938,9.1,1.0
CC(C)[C@H](C(=O)NO)N(CCn1cc(CCCF)nn1)S(=O)(=O)c1ccc(OCCF)cc1,CHEMBL2425936,8.7,1.0
CC(C)[C@H](C(=O)NO)N(CCn1cc(CN(C)S(=O)(=O)c2ccc(F)cc2)nn1)S(=O)(=O)c1ccc(OCCF)cc1,CHEMBL2425940,7.96,1.0
CC(C)[C@H](C(=O)NO)N(CCn1cc(CNS(=O)(=O)c2ccc(F)cc2)nn1)S(=O)(=O)c1ccc(OCCF)cc1,CHEMBL2425939,8.52,1.0
CC(C)[C@H](C(=O)NO)N(CCn1cc(COCCOCCOCCOCCOCCF)nn1)S(=O)(=O)c1ccc(OCCF)cc1,CHEMBL2425937,8.0,1.0
CC(C)[C@H](C(=O)NO)N(Cc1ccccc1)S(=O)(=O)c1ccc(F)cc1,CHEMBL393828,6.55,1.0
CC(C)[C@H](C(=O)NO)N(Cc1ccccc1)S(=O)(=O)c1ccc(N(C)C)cc1,CHEMBL235916,6.21,1.0
CC(C)[C@H](C(=O)NO)N(Cc1ccccc1)S(=O)(=O)c1ccc(OCCF)cc1,CHEMBL429800,7.3,1.0
CC(C)[C@H](C(=O)NO)N(Cc1ccccc1)S(=O)(=O)c1ccc(OCCI)cc1,CHEMBL392308,7.16,1.0
CC(C)[C@H](C(=O)NO)N(Cc1cccnc1)S(=O)(=O)c1ccc(F)cc1,CHEMBL237384,6.38,1.0
CC(C)[C@H](C(=O)NO)N(Cc1cccnc1)S(=O)(=O)c1ccc(N(C)C)cc1,CHEMBL392088,5.88,1.0
CC(C)[C@H](C(=O)NO)N(Cc1cccnc1)S(=O)(=O)c1ccc(OCCF)cc1,CHEMBL392571,8.15,1.0
CC(C)[C@H](C(=O)NO)N(Cc1cccnc1)S(=O)(=O)c1ccc([N+](=O)[O-])cc1,CHEMBL236974,5.29,0.0
CC(C)[C@H](C(=O)NO)N(Cc1cn(CCF)nn1)S(=O)(=O)c1ccc(OCCF)cc1,CHEMBL2425942,8.15,1.0
CC(C)[C@H](C(=O)NO)N(Cc1cn(CCOCCOCCOCCF)nn1)S(=O)(=O)c1ccc(OCCF)cc1,CHEMBL2425943,9.7,1.0
CC(C)[C@H](C(=O)NO)N(Cc1cn(CCOCCOCCOCCOc2cccnc2F)nn1)S(=O)(=O)c1ccc(OCCF)cc1,CHEMBL2425944,9.7,1.0
CC(C)[C@H](C(=O)O)N(C)S(=O)(=O)c1ccc(-c2nnn(-c3ccccc3)n2)cc1,CHEMBL48039,6.06,1.0
CC(C)[C@H](C(=O)O)N(CCNC(=O)c1cccc(C(=O)NCCN([C@@H](C(=O)N(C)C)C(C)C)S(=O)(=O)c2ccc(-c3ccccc3)cc2)c1)S(=O)(=O)c1ccc(-c2ccccc2)cc1,CHEMBL3951740,7.47,1.0
CC(C)[C@H](C(=O)O)N(CCNC(=O)c1cccc(C(=O)NCCN([C@@H](C(=O)O)C(C)C)S(=O)(=O)c2ccc(-c3ccccc3)cc2)c1)S(=O)(=O)c1ccc(-c2ccccc2)cc1,CHEMBL3960452,7.58,1.0
CC(C)[C@H](C(=O)O)N(CCNC(=O)c1ccccc1)S(=O)(=O)c1ccc(-c2ccccc2)cc1,CHEMBL3971551,6.29,1.0
CC(C)[C@H](C(=O)O)N(CCNC(=S)N[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O)S(=O)(=O)c1ccc(-c2ccccc2)cc1,CHEMBL4283171,5.95,1.0
CC(C)[C@H](C(=O)O)N(Cc1ccccc1)S(=O)(=O)c1ccc(F)cc1,CHEMBL393829,6.09,1.0
CC(C)[C@H](C(=O)O)N(Cc1ccccc1)S(=O)(=O)c1ccc(N(C)C)cc1,CHEMBL236130,4.82,0.0
CC(C)[C@H](C(=O)O)N(Cc1ccccc1)S(=O)(=O)c1ccc(OCCF)cc1,CHEMBL237177,5.89,1.0
CC(C)[C@H](C(=O)O)N(Cc1ccccc1)S(=O)(=O)c1ccc(OCCI)cc1,CHEMBL236565,5.87,1.0
CC(C)[C@H](NS(=O)(=O)c1ccc(-c2ccc(Br)cc2)cc1)C(=O)NO,CHEMBL43644,4.08,0.0
CC(C)[C@H](NS(=O)(=O)c1ccc(-c2ccc(Br)cc2)cc1)C(=O)O,CHEMBL43152,5.1,0.0
CC(C)[C@H](NS(=O)(=O)c1ccc(-c2ccc(Br)cc2F)cc1)C(=O)O,CHEMBL46818,5.31,0.0
CC(C)[C@H](NS(=O)(=O)c1ccc(-c2ccc(C#N)cc2)cc1)C(=O)NO,CHEMBL42067,4.0,0.0
CC(C)[C@H](NS(=O)(=O)c1ccc(-c2ccc(C#N)cc2)cc1)C(=O)O,CHEMBL45040,4.23,0.0
CC(C)[C@H](NS(=O)(=O)c1ccc(-c2ccc(C(F)(F)F)cc2)cc1)C(=O)O,CHEMBL47254,4.7,0.0
CC(C)[C@H](NS(=O)(=O)c1ccc(-c2ccc(C=O)cc2)cc1)C(=O)O,CHEMBL46830,4.77,0.0
CC(C)[C@H](NS(=O)(=O)c1ccc(-c2ccc(Cl)cc2)cc1)C(=O)O,CHEMBL296196,4.8,0.0
CC(C)[C@H](NS(=O)(=O)c1ccc(-c2ccc(Cl)cc2)cc1)P(=O)(O)O,CHEMBL376557,7.68,1.0
CC(C)[C@H](NS(=O)(=O)c1ccc(-c2ccc(F)cc2)cc1)C(=O)O,CHEMBL418442,4.19,0.0
CC(C)[C@H](NS(=O)(=O)c1ccc(-c2ccc(F)cc2)cc1)P(=O)(O)O,CHEMBL374377,7.23,1.0
CC(C)[C@H](NS(=O)(=O)c1ccc(-c2ccc(N)cc2)cc1)C(=O)O,CHEMBL42114,4.7,0.0
CC(C)[C@H](NS(=O)(=O)c1ccc(-c2ccc([N+](=O)[O-])cc2)cc1)C(=O)O,CHEMBL44455,4.42,0.0
CC(C)[C@H](NS(=O)(=O)c1ccc(-c2cccc(Br)c2)cc1)C(=O)O,CHEMBL43206,4.0,0.0
CC(C)[C@H](NS(=O)(=O)c1ccc(-c2cccc(CNC(=O)c3nc4ccccc4c(=O)[nH]3)c2)cc1)C(=O)NO,CHEMBL3932562,8.33,1.0
CC(C)[C@H](NS(=O)(=O)c1ccc(-c2cccc(CNC(=O)c3nc4ccccc4c(=O)[nH]3)c2)cc1)C(=O)O,CHEMBL3971135,7.44,1.0
CC(C)[C@H](NS(=O)(=O)c1ccc(-c2cccc(Cl)c2)cc1)P(=O)(O)O,CHEMBL228188,6.8,1.0
CC(C)[C@H](NS(=O)(=O)c1ccc(-c2cccc(F)c2)cc1)C(=O)O,CHEMBL539683,4.19,0.0
CC(C)[C@H](NS(=O)(=O)c1ccc(-c2cccc(F)c2)cc1)P(=O)(O)O,CHEMBL228187,6.77,1.0
CC(C)[C@H](NS(=O)(=O)c1ccc(-c2ccccc2)cc1)C(=O)O,CHEMBL43147,4.58,0.0
CC(C)[C@H](NS(=O)(=O)c1ccc(CCc2ccccc2)cc1)P(=O)(O)O,CHEMBL227553,5.15,0.0
CC(C)[C@H](NS(=O)(=O)c1ccc2c(c1)oc1ccc(-c3nccs3)cc12)C(=O)O,CHEMBL1935291,5.71,1.0
CC(C)[C@H](NS(=O)(=O)c1ccc2c(c1)oc1ccc(N3CCOC3=O)cc12)C(=O)O,CHEMBL550038,6.5,1.0
CC(C)c1cc2c(cc1S(=O)(=O)N[C@@H](Cc1ccccc1)C(=O)Nc1cccc(Br)c1)[C@@]1(C)CCC[C@@](C)(C(=O)N[C@@H](Cc3ccccc3)C(=O)Nc3cccc(Br)c3)[C@@H]1CC2,CHEMBL4211771,4.03,0.0
CC(C)c1cc2c(cc1S(=O)(=O)N[C@@H](Cc1ccccc1)C(=O)Nc1ccccc1)[C@@]1(C)CCC[C@@](C)(C(=O)N[C@@H](Cc3ccccc3)C(=O)Nc3ccccc3)[C@@H]1CC2,CHEMBL4216220,4.61,0.0
CC(C)c1cc2c(cc1S(=O)(=O)N[C@@H](Cc1ccccc1)C(=O)Nc1ccccc1F)[C@@]1(C)CCC[C@@](C)(C(=O)N[C@@H](Cc3ccccc3)C(=O)Nc3ccccc3F)[C@@H]1CC2,CHEMBL4203206,4.32,0.0
CC(C)c1cc2c(cc1S(=O)(=O)N[C@H](Cc1ccccc1)C(=O)Nc1ccccc1)[C@@]1(C)CCC[C@@](C)(C(=O)N[C@H](Cc3ccccc3)C(=O)Nc3ccccc3)[C@@H]1CC2,CHEMBL4206886,4.27,0.0
CC(C)c1cc2c(cc1S(=O)(=O)N[C@H](Cc1ccccc1)C(=O)Nc1ccccc1F)[C@@]1(C)CCC[C@@](C)(C(=O)N[C@H](Cc3ccccc3)C(=O)Nc3ccccc3F)[C@@H]1CC2,CHEMBL4212449,4.18,0.0
CC(C)c1cc2c(cc1S(=O)(=O)O)[C@@]1(C)CCC[C@@](C)(C(=O)N[C@@H](Cc3ccccc3)C(=O)Nc3cccc(F)c3)[C@@H]1CC2,CHEMBL4211189,4.14,0.0
CC(C)c1cc2c(cc1S(=O)(=O)O)[C@@]1(C)CCC[C@@](C)(C(=O)N[C@@H](Cc3ccccc3)C(=O)Nc3ccccc3Br)[C@@H]1CC2,CHEMBL4202989,4.08,0.0
CC(C)c1cc2c(cc1S(=O)(=O)O)[C@@]1(C)CCC[C@@](C)(C(=O)N[C@H](Cc3ccccc3)C(=O)Nc3ccccc3)[C@@H]1CC2,CHEMBL4206821,4.02,0.0
CC(C)c1ccc(-c2ccc(S(=O)(=O)C(CCN3C(=O)c4ccccc4C3=O)C(=O)O)cc2)cc1,CHEMBL383193,8.8,1.0
CC(C)c1ccc(-n2nnc(-c3ccc(S(=O)(=O)NCC(=O)O)cc3)n2)cc1,CHEMBL4872688,6.96,1.0
CC(C)c1ccc(C#Cc2ccc(SC(CCN3C(=O)c4ccccc4C3=O)C(=O)O)cc2)cc1,CHEMBL207026,8.29,1.0
CC(C)c1ccc(Oc2ccc(S(=O)(=O)C3(C(=O)NO)CCN(C(C)C)CC3)cc2)cc1,CHEMBL1801415,8.66,1.0
CC(C)c1cccc(C2=CCN(C(=O)[C@H]3NCC4(CC4)C[C@@H]3C(=O)NO)CC2)c1,CHEMBL252081,5.6,1.0
CC(CCN1C(=O)c2ccccc2C1=O)(C(=O)O)S(=O)(=O)c1ccc(-c2ccc(Cl)cc2)cc1,CHEMBL379653,6.94,1.0
CC(Cc1ccc(OCCN2CCCCC2)cc1)(C(=O)NO)S(=O)(=O)c1cccs1,CHEMBL75925,7.1,1.0
CC(Cc1ccccc1)(C(=O)NO)S(=O)(=O)c1cccs1,CHEMBL309599,7.31,1.0
CC(Cc1nc2ccccc2s1)(C(=O)N1CCCN(C2(c3ccc(Oc4ccccc4)cc3)C(=O)NC(=O)NC2=O)CC1)c1ccccc1,CHEMBL1812960,6.01,1.0
CC1(C)C(/C=C/C2=C(N3CCC(C(=O)NO)(S(=O)(=O)c4ccc(Oc5ccc(OC(F)(F)F)cc5)cc4)CC3)/C(=C/C=C3/N(CCCCS(=O)(=O)O)c4ccccc4C3(C)C)CCC2)=[N+](CCCCS(=O)(=O)[O-])c2ccccc21,CHEMBL3350758,8.8,1.0
CC1(C)C(=O)NC(=O)N1CC(COc1ccc(-c2ccc(OC(F)(F)F)cc2)cc1)N(O)C=O,CHEMBL75437,6.92,1.0
CC1(C)C(=O)NC(=O)N1CC(CS(=O)(=O)c1ccc(-c2ccc(OC(F)(F)F)cc2)cc1)N(O)C=O,CHEMBL76043,9.47,1.0
CC1(C)C[C@@H](C(CS(=O)(=O)c2ccc(Oc3ccc(OC(F)(F)F)cc3)cc2)N(O)C=O)N(S(C)(=O)=O)C1,CHEMBL2040991,8.7,1.0
CC1(C)NC(=O)N(CC(CS(=O)(=O)c2ccc(-c3ccc(C#N)cc3)cc2)N(O)C=O)C1=O,CHEMBL308264,8.39,1.0
CC1(C)NC(=O)N(CC(CS(=O)(=O)c2ccc(-c3ccc(C(F)(F)F)cc3)cc2)N(O)C=O)C1=O,CHEMBL75154,8.0,1.0
CC1(C)NC(=O)N(CC(CS(=O)(=O)c2ccc(-c3ccc(OC(F)(F)F)cc3)cc2)N(O)C=O)C1=O,CHEMBL2041308,9.47,1.0
CC1(C)NC(=O)N(CC(CS(=O)(=O)c2ccc(-c3cccc(CC#N)c3)cc2)N(O)C=O)C1=O,CHEMBL75487,9.04,1.0
CC1(C)NC(=O)N(CC(CS(=O)(=O)c2ccc(Oc3ccc(C#N)cc3)cc2)N(O)C=O)C1=O,CHEMBL311618,8.41,1.0
CC1(C)NC(=O)N(CC(CS(=O)(=O)c2ccc(Oc3ccc(Cl)cc3)cc2)N(O)C=O)C1=O,CHEMBL75302,9.02,1.0
CC1(C)NC(=O)N(CC(CS(=O)(=O)c2ccc(Oc3ccc(OC(F)(F)F)cc3)cc2)N(O)C=O)C1=O,CHEMBL309053,8.7,1.0
CC1(C)NC(=O)N(C[C@@H](COc2ccc(-c3ccc(OC(F)(F)F)cc3)cc2)N(O)C=O)C1=O,CHEMBL40143,6.92,1.0
CC1(C)NC(=O)N(C[C@@H]2CC[C@H](Sc3ccc(-c4ccc(Cl)cc4)cc3)[C@H]2C(=O)O)C1=O,CHEMBL126712,8.48,1.0
CC1(C)NC(=O)N(C[C@H](COc2ccc(-c3ccc(OC(F)(F)F)cc3)cc2)N(O)C=O)C1=O,CHEMBL41943,5.92,1.0
CC1(C)NC(=O)N(C[C@H](CS(=O)(=O)c2ccc(-c3ccc(OC(F)(F)F)cc3)cc2)N(O)C(=O)O)C1=O,CHEMBL5278145,9.47,1.0
CC1(C)OCC(C[C@@H](CS(=O)(=O)c2ccc(Oc3ccc(OC(F)(F)F)cc3)cc2)N(O)C=O)O1,CHEMBL306301,8.26,1.0
CC1(C)OC[C@@H]([C@@H](CS(=O)(=O)c2ccc(Oc3ccc(OC(F)(F)F)cc3)cc2)N(O)C=O)O1,CHEMBL2114138,6.32,1.0
CC1(C)OC[C@H](C(CS(=O)(=O)c2ccc(Oc3ccc(OC(F)(F)F)cc3)cc2)N(O)C=O)O1,CHEMBL2041307,9.3,1.0
CC1(C)OC[C@H](CC(CS(=O)(=O)c2ccc(Oc3ccc(OC(F)(F)F)cc3)cc2)N(O)C=O)O1,CHEMBL3221179,8.26,1.0
CC1(C)OC[C@H]([C@@H](CS(=O)(=O)c2ccc(Oc3ccc(OC(F)(F)F)cc3)cc2)N(O)C=O)O1,CHEMBL2115165,9.3,1.0
CC1(C)SCCN(S(=O)(=O)c2ccc(OCC#CCO)cc2)C1C(=O)NO,CHEMBL3392650,7.09,1.0
CC1(C)SCCN(S(=O)(=O)c2ccc(OCC#CCO)cc2)[C@H]1C(=O)NO,CHEMBL206815,7.09,1.0
CC1(C)SCCN(S(=O)(=O)c2ccc(Oc3ccccc3)cc2)[C@H]1C(=O)NO,CHEMBL473539,9.59,1.0
CC1(C)SCCN(S(=O)(=O)c2ccc(Oc3ccncc3)cc2)[C@H]1C(=O)NO,CHEMBL75094,9.7,1.0
CC1(c2ccc(Oc3ccccc3)cc2)C(=O)NC(=O)NC1=O,CHEMBL176467,7.28,1.0
CC1(c2ccccc2)C(=O)NC(=O)NC1=O,CHEMBL329617,4.96,0.0
CC1=CC[C@@H](NS(=O)(=O)c2ccc(Oc3ccc(Cl)cc3)cc2)C(=O)N(O)C1,CHEMBL1916053,8.89,1.0
CC1CCC(C[C@@H](C(=O)N[C@@H](CCC/N=C(/N)NS(=O)(=O)c2ccccn2)C(=O)Nc2nccs2)[C@H](C(C)C)N(O)C=O)CC1,CHEMBL135983,7.15,1.0
CC1CCC(C[C@@H](C(=O)N[C@@H](CCC/N=C(/N)NS(C)(=O)=O)C(=O)Nc2nccs2)[C@H](C(C)C)N(O)C=O)CC1,CHEMBL339381,7.05,1.0
CC1CCC(C[C@@H](C(=O)N[C@@H](CCC/N=C(/N)N[N+](=O)[O-])C(=O)Nc2nccs2)[C@H](C(C)C)N(O)C=O)CC1,CHEMBL135251,7.46,1.0
CCC#CCOc1ccc(S(=O)(=O)N(C)c2c(C)cc(Br)cc2C(=O)NO)cc1,CHEMBL19371,6.1,1.0
CCC(C(=O)NO)N(CC(C)C)S(=O)(=O)c1ccc(OC)cc1,CHEMBL105142,8.15,1.0
CCC(C)ON(C(C(=O)NO)C(C)C)S(=O)(=O)c1ccc(OC)cc1,CHEMBL388982,6.54,1.0
